Sexo;Edad;Nacionalidad;Fecha de alta;Fecha de baja;Situación laboral;Nivel académico;Distrito;Barrio;Número
Mujer;73-82;ESPAÑOLA;02/09/2016;-;Jubilado/a;03-A BUP/Bachillerato;SAN BLAS - CANILLEJAS;SIMANCAS;1
Mujer;40-49;ITALIANA;07/01/2022;-;-;-;CIUDAD LINEAL;VENTAS;1
Varón;82-91;ESPAÑOLA;11/09/2013;-;Jubilado/a;03-A BUP/Bachillerato;SAN BLAS - CANILLEJAS;SIMANCAS;1
Mujer;38-47;ESPAÑOLA;12/12/2007;-;Desempleado/a;101-N ESO Educación Secundaria;OTROS;OTROS;1
Varón;73-82;ESPAÑOLA;15/06/2016;-;-;200-N NS/NC;VICALVARO;CASCO H.VICALVARO;1
Varón;75-84;ECUATORIANA;10/04/2014;-;Trabajando;02-A EGB/Graduado Escolar;OTROS;OTROS;1
Mujer;45-54;ESPAÑOLA;20/03/2019;-;Trabajando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;MIRASIERRA;1
Varón;25-34;ESPAÑOLA;12/05/2023;-;Trabajando;04-A FP;CARABANCHEL;VISTA ALEGRE;1
Mujer;68-77;ESPAÑOLA;07/12/2018;-;-;-;CIUDAD LINEAL;PUEBLO NUEVO;1
Mujer;41-50;ESPAÑOLA;14/01/2009;-;Trabajando;07-A Diplomado Universitario;SALAMANCA;GOYA;1
Mujer;56-65;ESPAÑOLA;03/05/2010;-;Trabajando;03-A BUP/Bachillerato;CIUDAD LINEAL;SAN PASCUAL;1
Mujer;30-39;ESTADO UNIDENSE;25/11/2022;-;Trabajando;07-A Diplomado Universitario;LATINA;ALUCHE;1
Mujer;>90;ESPAÑOLA;25/07/2013;-;Jubilado/a;200-N NS/NC;CENTRO;UNIVERSIDAD;1
Mujer;49-58;ESPAÑOLA;25/01/2013;-;Trabajando;07-A Diplomado Universitario;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;1
Mujer;70-79;ESPAÑOLA;27/04/2023;-;-;-;VILLAVERDE;SAN CRISTOBAL;1
Mujer;38-47;ESPAÑOLA;15/03/2004;-;Desempleado/a;08-A Licenciado Universitario;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;1
Varón;88-97;ESPAÑOLA;18/05/2015;-;Jubilado/a;200-N NS/NC;MORATALAZ;PAVONES;1
Varón;25-34;ESPAÑOLA;30/08/2016;-;Estudiando;105-N Diplomado Universitario;MONCLOA-ARAVACA;VALDEZARZA;1
Mujer;48-57;ESPAÑOLA;21/12/2012;-;Trabajando;07-A Diplomado Universitario;TETUAN;CASTILLEJOS;1
Mujer;20-29;ESPAÑOLA;19/10/2022;-;Trabajando;-;BARAJAS;CASCO H.BARAJAS;1
Mujer;78-87;ESPAÑOLA;27/03/2015;01/09/2017;Jubilado/a;200-N NS/NC;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Mujer;20-29;ESPAÑOLA;07/12/2021;-;Estudiando;-;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Mujer;48-57;ETÍOPE;18/12/2008;-;Trabajando;03-A BUP/Bachillerato;SALAMANCA;GOYA;1
Mujer;73-82;ESPAÑOLA;29/12/2015;-;Trabajando;08-A Licenciado Universitario;CIUDAD LINEAL;COSTILLARES;1
Varón;38-47;ESPAÑOLA;04/03/2021;-;Trabajando;07-A Diplomado Universitario;CHAMARTIN;PROSPERIDAD;1
Mujer;22-31;ESPAÑOLA;22/10/2019;-;Estudiando;-;FUENCARRAL-EL PARDO;VALVERDE;1
Mujer;53-62;ESPAÑOLA;16/01/2017;-;Trabajando;08-A Licenciado Universitario;TETUAN;CASTILLEJOS;1
Mujer;20-29;ESPAÑOLA;23/06/2022;-;Estudiando;-;SAN BLAS - CANILLEJAS;ARCOS;1
Mujer;69-78;ESPAÑOLA;14/10/2021;-;-;-;TETUAN;BERRUGUETE;1
Mujer;72-81;ESPAÑOLA;17/05/2023;-;-;-;MONCLOA-ARAVACA;ARAVACA;1
Varón;32-41;ESPAÑOLA;04/10/2018;-;Desempleado/a;02-A EGB/Graduado Escolar;PUENTE DE VALLECAS;ENTREVIAS;1
Varón;31-40;ESPAÑOLA;16/10/2012;-;Desempleado/a;104-N Ciclo Formativo Grado Superior;OTROS;OTROS;1
Mujer;81-90;ESPAÑOLA;11/04/2011;-;Jubilado/a;200-N NS/NC;RETIRO;ESTRELLA;1
Mujer;36-45;ESPAÑOLA;22/07/2008;-;Trabajando;08-A Licenciado Universitario;CIUDAD LINEAL;VENTAS;1
Varón;46-55;KUWAITÍ;18/10/2018;-;-;-;MONCLOA-ARAVACA;ARGUELLES;1
Varón;29-38;ESPAÑOLA;02/03/2021;-;Trabajando;08-A Licenciado Universitario;CENTRO;JUSTICIA;1
Varón;17-26;ESPAÑOLA;16/06/2022;-;Estudiando;02-A EGB/Graduado Escolar;MORATALAZ;FONTARRON;1
Mujer;>90;ESPAÑOLA;27/11/2012;-;-;200-N NS/NC;ARGANZUELA;CHOPERA;1
Varón;30-39;ESPAÑOLA;05/02/2020;-;Trabajando;08-A Licenciado Universitario;CENTRO;PALACIO;1
Mujer;32-41;ITALIANA;04/12/2018;-;Trabajando;-;VILLAVERDE;LOS ROSALES;1
Varón;86-95;ESPAÑOLA;30/04/2008;-;Jubilado/a;03-A BUP/Bachillerato;CHAMARTIN;PROSPERIDAD;1
Mujer;60-69;ARGENTINA;04/08/2010;-;-;08-A Licenciado Universitario;OTROS;OTROS;1
Mujer;42-51;COLOMBIANA;29/11/2007;-;Trabajando;105-N Diplomado Universitario;USERA;MOSCARDO;1
Mujer;48-57;ESPAÑOLA;24/01/2007;-;Trabajando;200-N NS/NC;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Mujer;29-38;BRASILEÑA;22/10/2012;-;Trabajando;101-N ESO Educación Secundaria;OTROS;OTROS;1
Mujer;56-65;ESPAÑOLA;01/12/2009;-;Trabajando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;LA PAZ;1
Mujer;81-90;ESPAÑOLA;30/01/2014;31/10/2018;-;200-N NS/NC;CIUDAD LINEAL;QUINTANA;1
Mujer;70-79;ESPAÑOLA;07/10/2008;22/03/2023;Trabajando;200-N NS/NC;CENTRO;PALACIO;1
Varón;20-29;ESPAÑOLA;04/04/2023;-;Estudiando;-;SAN BLAS - CANILLEJAS;SIMANCAS;1
Varón;72-81;ESPAÑOLA;01/07/2019;-;Jubilado/a;-;RETIRO;ESTRELLA;1
Varón;>90;ESPAÑOLA;21/04/2004;31/07/2020;-;200-N NS/NC;OTROS;OTROS;1
Mujer;37-46;ESPAÑOLA;29/12/2003;-;Trabajando;200-N NS/NC;SAN BLAS - CANILLEJAS;HELLIN;1
Varón;38-47;ESPAÑOLA;27/05/2019;-;Trabajando;200-N NS/NC;CIUDAD LINEAL;PUEBLO NUEVO;1
Mujer;64-73;ESPAÑOLA;02/10/2013;29/07/2022;Trabajando;08-A Licenciado Universitario;VICALVARO;VALDEBERNARDO;1
Varón;70-79;ESPAÑOLA;24/11/2011;-;Jubilado/a;08-A Licenciado Universitario;CIUDAD LINEAL;SAN PASCUAL;1
Mujer;63-72;ESPAÑOLA;09/06/2009;31/01/2022;Desempleado/a;03-A BUP/Bachillerato;SALAMANCA;LISTA;1
Mujer;40-49;ESPAÑOLA;03/04/2019;-;Trabajando;106-N Licenciado Universitario;LATINA;PUERTA DEL ANGEL;1
Mujer;26-35;ESPAÑOLA;17/09/2019;-;Estudiando;04-A FP;OTROS;OTROS;1
Mujer;30-39;PERUANA;02/09/2022;-;Estudiando;04-A FP;CENTRO;JUSTICIA;1
Mujer;49-58;ESPAÑOLA;17/03/2015;-;Estudiando;106-N Licenciado Universitario;OTROS;OTROS;1
Mujer;42-51;ESPAÑOLA;29/09/2020;-;Trabajando;103-N Ciclo Formativo Grado Medio;CENTRO;EMBAJADORES;1
Mujer;67-76;ESPAÑOLA;19/06/2012;-;Trabajando;07-A Diplomado Universitario;HORTALEZA;PIOVERA;1
Mujer;63-72;ESPAÑOLA;17/01/2008;-;Trabajando;04-A FP;CIUDAD LINEAL;COLINA;1
Mujer;24-33;ESPAÑOLA;03/09/2020;-;Estudiando;03-A BUP/Bachillerato;CHAMBERI;VALLEHERMOSO;1
Mujer;44-53;ESPAÑOLA;11/12/2012;31/05/2022;Trabajando;08-A Licenciado Universitario;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;1
Mujer;69-78;ESPAÑOLA;19/12/2016;31/03/2023;Jubilado/a;08-A Licenciado Universitario;ARGANZUELA;CHOPERA;1
Varón;31-40;ESPAÑOLA;17/12/2018;-;Desempleado/a;07-A Diplomado Universitario;RETIRO;ESTRELLA;1
Mujer;59-68;ARGENTINA;01/08/2018;-;Desempleado/a;02-A EGB/Graduado Escolar;OTROS;OTROS;1
Varón;36-45;ESPAÑOLA;15/03/2013;-;Trabajando;08-A Licenciado Universitario;ARGANZUELA;LEGAZPI;1
Mujer;85-94;ESPAÑOLA;28/05/2008;01/09/2017;Jubilado/a;02-A EGB/Graduado Escolar;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;1
Varón;58-67;ESPAÑOLA;16/03/2009;-;-;01-A Sin Estudios;PUENTE DE VALLECAS;SAN DIEGO;1
Mujer;34-43;ESPAÑOLA;04/04/2022;-;Desempleado/a;07-A Diplomado Universitario;CARABANCHEL;SAN ISIDRO;1
Varón;34-43;ESPAÑOLA;03/09/2021;-;Trabajando;06-A Módulo Profesional;HORTALEZA;VALDEFUENTES;1
Varón;29-38;ESPAÑOLA;14/07/2014;-;Estudiando;06-A Módulo Profesional;OTROS;OTROS;1
Mujer;68-77;ESPAÑOLA;11/09/2019;-;Jubilado/a;08-A Licenciado Universitario;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Varón;34-43;ESPAÑOLA;10/03/2010;-;Trabajando;105-N Diplomado Universitario;RETIRO;ADELFAS;1
Mujer;37-46;ESPAÑOLA;01/06/2018;-;Desempleado/a;-;OTROS;OTROS;1
Varón;19-28;ESPAÑOLA;09/12/2020;-;Estudiando;03-A BUP/Bachillerato;RETIRO;ESTRELLA;1
Mujer;21-30;ESPAÑOLA;31/05/2018;-;Estudiando;102-N Bachillerato;BARAJAS;TIMON;1
Mujer;65-74;ESPAÑOLA;21/03/2023;-;Jubilado/a;-;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Mujer;>90;ESPAÑOLA;28/05/2008;-;Otra situación;02-A EGB/Graduado Escolar;CHAMBERI;TRAFALGAR;1
Mujer;74-83;ESPAÑOLA;02/11/2011;-;-;200-N NS/NC;TETUAN;CUATRO CAMINOS;1
Mujer;28-37;ESPAÑOLA;16/04/2015;-;Estudiando;104-N Ciclo Formativo Grado Superior;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Mujer;59-68;ESPAÑOLA;16/07/2021;-;Otra situación;08-A Licenciado Universitario;CENTRO;PALACIO;1
Mujer;31-40;ESPAÑOLA;30/12/2014;-;Trabajando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;VALVERDE;1
Varón;45-54;ITALIANA;12/05/2009;-;Trabajando;08-A Licenciado Universitario;RETIRO;IBIZA;1
Mujer;27-36;ESPAÑOLA;14/08/2014;-;-;101-N ESO Educación Secundaria;LATINA;LAS AGUILAS;1
Mujer;31-40;ESPAÑOLA;22/06/2015;-;Desempleado/a;101-N ESO Educación Secundaria;VILLAVERDE;LOS ROSALES;1
Varón;34-43;ITALIANA;08/03/2022;-;Trabajando;08-A Licenciado Universitario;ARGANZUELA;ACACIAS;1
Mujer;47-56;ESPAÑOLA;28/09/2011;-;Trabajando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;EL GOLOSO;1
Mujer;41-50;ESPAÑOLA;16/07/2018;-;Trabajando;08-A Licenciado Universitario;USERA;ORCASUR;1
Mujer;79-88;ESPAÑOLA;03/02/2014;-;-;200-N NS/NC;SALAMANCA;LISTA;1
Varón;43-52;ESPAÑOLA;01/07/2019;-;Trabajando;105-N Diplomado Universitario;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Varón;49-58;ECUATORIANA;02/12/2010;-;Desempleado/a;03-A BUP/Bachillerato;TETUAN;VALDEACEDERAS;1
Mujer;43-52;ESPAÑOLA;16/03/2009;-;Trabajando;200-N NS/NC;TETUAN;CASTILLEJOS;1
Mujer;84-93;ESPAÑOLA;04/04/2022;-;Jubilado/a;-;CIUDAD LINEAL;COSTILLARES;1
Varón;31-40;ESPAÑOLA;26/09/2013;-;-;105-N Diplomado Universitario;ARGANZUELA;DELICIAS;1
Mujer;34-43;DOMINICANA;15/12/2014;-;Trabajando;106-N Licenciado Universitario;LATINA;ALUCHE;1
Mujer;58-67;ESPAÑOLA;01/02/2023;-;Desempleado/a;03-A BUP/Bachillerato;OTROS;OTROS;1
Varón;88-97;ESPAÑOLA;25/05/2010;-;Jubilado/a;03-A BUP/Bachillerato;CIUDAD LINEAL;VENTAS;1
Mujer;55-64;ESPAÑOLA;30/01/2013;-;Desempleado/a;07-A Diplomado Universitario;TETUAN;BERRUGUETE;1
Mujer;53-62;ESPAÑOLA;14/10/2021;-;Otra situación;08-A Licenciado Universitario;MONCLOA-ARAVACA;CASA DE CAMPO;1
Varón;40-49;NO IDENTIFICADO;27/06/2007;-;Trabajando;200-N NS/NC;OTROS;OTROS;1
Mujer;59-68;ESPAÑOLA;29/11/2022;-;-;-;TETUAN;VALDEACEDERAS;1
Varón;>90;ESPAÑOLA;16/01/2013;22/03/2023;-;200-N NS/NC;SAN BLAS - CANILLEJAS;REJAS;1
Varón;47-56;ESPAÑOLA;23/04/2004;-;Trabajando;02-A EGB/Graduado Escolar;SAN BLAS - CANILLEJAS;EL SALVADOR;1
Mujer;53-62;ESPAÑOLA;06/05/2011;-;Trabajando;200-N NS/NC;MORATALAZ;VINATEROS;1
Varón;49-58;ESPAÑOLA;08/09/2022;-;Trabajando;08-A Licenciado Universitario;LATINA;LAS AGUILAS;1
Varón;35-44;ESPAÑOLA;24/07/2014;-;Trabajando;102-N Bachillerato;OTROS;OTROS;1
Mujer;45-54;ESPAÑOLA;29/04/2007;-;Trabajando;04-A FP;SALAMANCA;GUINDALERA;1
Varón;76-85;ESPAÑOLA;19/06/2017;-;Jubilado/a;02-A EGB/Graduado Escolar;USERA;ALMENDRALES;1
Mujer;61-70;ESPAÑOLA;23/01/2020;-;Trabajando;08-A Licenciado Universitario;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;1
Mujer;27-36;ESPAÑOLA;12/02/2020;-;-;08-A Licenciado Universitario;PUENTE DE VALLECAS;SAN DIEGO;1
Mujer;>90;ESPAÑOLA;24/05/2012;-;Jubilado/a;03-A BUP/Bachillerato;SALAMANCA;GOYA;1
Mujer;52-61;ESPAÑOLA;03/06/2009;-;Trabajando;07-A Diplomado Universitario;VICALVARO;VALDERRIVAS;1
Varón;82-91;ESPAÑOLA;05/03/2012;29/01/2021;Jubilado/a;03-A BUP/Bachillerato;LATINA;LAS AGUILAS;1
Varón;59-68;ESPAÑOLA;21/07/2021;-;Otra situación;-;OTROS;OTROS;1
Varón;36-45;ESPAÑOLA;10/11/2008;-;Estudiando;102-N Bachillerato;USERA;PRADOLONGO;1
Mujer;31-40;ESPAÑOLA;09/10/2008;-;Estudiando;03-A BUP/Bachillerato;CHAMBERI;ARAPILES;1
Varón;38-47;ESPAÑOLA;10/05/2012;-;Desempleado/a;03-A BUP/Bachillerato;LATINA;PUERTA DEL ANGEL;1
Mujer;48-57;ESPAÑOLA;21/07/2017;-;Trabajando;104-N Ciclo Formativo Grado Superior;OTROS;OTROS;1
Varón;78-87;ESPAÑOLA;07/03/2016;31/05/2017;Otra situación;200-N NS/NC;MORATALAZ;VINATEROS;1
Mujer;37-46;VENEZOLANA;23/09/2020;-;Estudiando;08-A Licenciado Universitario;CENTRO;JUSTICIA;1
Mujer;29-38;ESPAÑOLA;25/01/2023;-;Desempleado/a;06-A Módulo Profesional;VILLAVERDE;LOS ROSALES;1
Varón;49-58;ESPAÑOLA;06/02/2023;-;Trabajando;103-N Ciclo Formativo Grado Medio;OTROS;OTROS;1
Mujer;51-60;ESPAÑOLA;16/08/2022;-;Trabajando;04-A FP;CENTRO;SOL;1
Mujer;38-47;ESPAÑOLA;26/06/2007;-;Trabajando;106-N Licenciado Universitario;ARGANZUELA;IMPERIAL;1
Varón;43-52;PERUANA;04/12/2008;-;Trabajando;03-A BUP/Bachillerato;PUENTE DE VALLECAS;SAN DIEGO;1
Varón;51-60;ESPAÑOLA;30/01/2012;-;Desempleado/a;05-A COU;OTROS;OTROS;1
Varón;86-95;ESPAÑOLA;25/06/2008;-;Jubilado/a;200-N NS/NC;OTROS;OTROS;1
Mujer;55-64;VENEZOLANA;18/07/2018;-;-;-;SALAMANCA;GUINDALERA;1
Varón;56-65;ESPAÑOLA;28/02/2004;-;Trabajando;04-A FP;CIUDAD LINEAL;PUEBLO NUEVO;1
Varón;36-45;ESPAÑOLA;11/02/2020;-;Trabajando;08-A Licenciado Universitario;CHAMBERI;TRAFALGAR;1
Mujer;34-43;ESPAÑOLA;13/07/2020;-;Desempleado/a;-;CENTRO;EMBAJADORES;1
Mujer;48-57;MARROQUÍ;03/05/2007;31/05/2017;Desempleado/a;08-A Licenciado Universitario;USERA;ORCASUR;1
Mujer;30-39;ESPAÑOLA;25/03/2015;-;Trabajando;106-N Licenciado Universitario;TETUAN;BELLAS VISTAS;1
Varón;43-52;ESPAÑOLA;08/02/2021;-;Trabajando;08-A Licenciado Universitario;CENTRO;CORTES;1
Mujer;62-71;ESPAÑOLA;12/04/2012;-;Trabajando;08-A Licenciado Universitario;TETUAN;BELLAS VISTAS;1
Varón;69-78;ESPAÑOLA;26/01/2022;-;Jubilado/a;08-A Licenciado Universitario;MONCLOA-ARAVACA;CASA DE CAMPO;1
Varón;41-50;PERUANA;21/03/2019;-;Desempleado/a;07-A Diplomado Universitario;USERA;ALMENDRALES;1
Varón;42-51;ITALIANA;07/03/2019;-;Trabajando;106-N Licenciado Universitario;CHAMBERI;ARAPILES;1
Varón;26-35;ITALIANA;26/05/2023;-;Trabajando;08-A Licenciado Universitario;RETIRO;PACIFICO;1
Varón;32-41;ESPAÑOLA;31/07/2013;30/09/2021;Trabajando;07-A Diplomado Universitario;CIUDAD LINEAL;VENTAS;1
Mujer;48-57;SENEGALESA;12/06/2015;-;-;200-N NS/NC;VILLAVERDE;SAN CRISTOBAL;1
Mujer;55-64;ESPAÑOLA;13/09/2019;-;-;-;FUENCARRAL-EL PARDO;EL PILAR;1
Varón;48-57;ESPAÑOLA;01/02/2013;-;Trabajando;02-A EGB/Graduado Escolar;TETUAN;VALDEACEDERAS;1
Mujer;23-32;ECUATORIANA;20/05/2021;-;Otra situación;04-A FP;SAN BLAS - CANILLEJAS;ARCOS;1
Varón;73-82;ESPAÑOLA;27/07/2022;-;Jubilado/a;08-A Licenciado Universitario;MORATALAZ;FONTARRON;1
Mujer;34-43;RUMANA;11/09/2012;-;Trabajando;04-A FP;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Mujer;36-45;ESPAÑOLA;17/12/2007;29/10/2021;Estudiando;03-A BUP/Bachillerato;CHAMARTIN;EL VISO;1
Mujer;51-60;ESPAÑOLA;28/02/2012;-;Trabajando;08-A Licenciado Universitario;RETIRO;IBIZA;1
Mujer;48-57;ESPAÑOLA;24/03/2008;-;-;08-A Licenciado Universitario;CENTRO;PALACIO;1
Mujer;58-67;ESPAÑOLA;03/05/2016;-;Desempleado/a;103-N Ciclo Formativo Grado Medio;OTROS;OTROS;1
Varón;74-83;ESPAÑOLA;01/07/2022;-;Jubilado/a;02-A EGB/Graduado Escolar;OTROS;OTROS;1
Varón;50-59;ESPAÑOLA;05/08/2015;-;Trabajando;106-N Licenciado Universitario;CHAMBERI;ALMAGRO;1
Varón;47-56;ESPAÑOLA;07/09/2009;-;Desempleado/a;08-A Licenciado Universitario;RETIRO;NIÑO JESUS;1
Mujer;67-76;OTRA;17/02/2020;-;Jubilado/a;03-A BUP/Bachillerato;CHAMBERI;GAZTAMBIDE;1
Mujer;48-57;ESPAÑOLA;21/10/2016;-;-;05-A COU;PUENTE DE VALLECAS;ENTREVIAS;1
Varón;47-56;ESPAÑOLA;24/03/2023;-;Otra situación;05-A COU;LATINA;ALUCHE;1
Varón;55-64;ESPAÑOLA;07/01/2013;-;Desempleado/a;04-A FP;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Varón;82-91;ESPAÑOLA;27/05/2013;30/04/2019;-;200-N NS/NC;VILLAVERDE;LOS ROSALES;1
Mujer;67-76;ESPAÑOLA;17/01/2022;-;-;-;SALAMANCA;GUINDALERA;1
Mujer;89-98;ESPAÑOLA;17/12/2014;-;Jubilado/a;105-N Diplomado Universitario;FUENCARRAL-EL PARDO;LA PAZ;1
Varón;39-48;ESPAÑOLA;28/02/2019;-;Trabajando;07-A Diplomado Universitario;CENTRO;UNIVERSIDAD;1
Mujer;81-90;ESPAÑOLA;21/12/2022;-;Jubilado/a;-;HORTALEZA;PINAR DEL REY;1
Mujer;26-35;MEXICANA;10/02/2022;-;Estudiando;04-A FP;CHAMARTIN;CIUDAD JARDIN;1
Varón;80-89;ESPAÑOLA;04/06/2012;28/02/2018;-;200-N NS/NC;RETIRO;ADELFAS;1
Mujer;31-40;ECUATORIANA;17/04/2019;-;Trabajando;104-N Ciclo Formativo Grado Superior;ARGANZUELA;CHOPERA;1
Varón;64-73;ESPAÑOLA;25/10/2021;-;Jubilado/a;02-A EGB/Graduado Escolar;SALAMANCA;GOYA;1
Varón;82-91;ESPAÑOLA;14/01/2014;-;Jubilado/a;06-A Módulo Profesional;SAN BLAS - CANILLEJAS;ROSAS;1
Varón;>90;ESPAÑOLA;23/03/2012;-;-;200-N NS/NC;FUENCARRAL-EL PARDO;EL PILAR;4
Mujer;41-50;ESPAÑOLA;09/09/2020;-;Trabajando;08-A Licenciado Universitario;CENTRO;EMBAJADORES;1
Mujer;52-61;ESPAÑOLA;01/06/2015;-;Trabajando;02-A EGB/Graduado Escolar;VILLAVERDE;BUTARQUE;1
Mujer;34-43;ESPAÑOLA;13/04/2009;-;Estudiando;104-N Ciclo Formativo Grado Superior;HORTALEZA;VALDEFUENTES;1
Mujer;69-78;ESPAÑOLA;11/06/2014;-;Jubilado/a;200-N NS/NC;HORTALEZA;CANILLAS;1
Varón;38-47;ESPAÑOLA;20/06/2012;29/10/2021;Trabajando;106-N Licenciado Universitario;TETUAN;CUATRO CAMINOS;1
Mujer;21-30;ESPAÑOLA;10/05/2018;-;Estudiando;03-A BUP/Bachillerato;LATINA;LUCERO;1
Mujer;60-69;ESPAÑOLA;01/04/2008;-;-;200-N NS/NC;CARABANCHEL;VISTA ALEGRE;1
Mujer;47-56;ESPAÑOLA;05/10/2012;-;Desempleado/a;07-A Diplomado Universitario;CARABANCHEL;BUENAVISTA;1
Mujer;33-42;ESPAÑOLA;14/12/2006;-;Estudiando;200-N NS/NC;OTROS;OTROS;1
Mujer;43-52;ESPAÑOLA;25/02/2009;-;-;03-A BUP/Bachillerato;HORTALEZA;VALDEFUENTES;1
Mujer;34-43;ESPAÑOLA;17/05/2022;-;Trabajando;08-A Licenciado Universitario;SALAMANCA;GUINDALERA;1
Varón;29-38;ESPAÑOLA;20/01/2012;-;Trabajando;104-N Ciclo Formativo Grado Superior;CARABANCHEL;BUENAVISTA;1
Mujer;77-86;ESPAÑOLA;06/06/2019;-;-;-;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Mujer;70-79;ESPAÑOLA;31/03/2008;-;Jubilado/a;106-N Licenciado Universitario;MONCLOA-ARAVACA;ARAVACA;1
Mujer;54-63;ESPAÑOLA;18/03/2009;22/03/2023;-;08-A Licenciado Universitario;CIUDAD LINEAL;SAN JUAN BAUTISTA;1
Mujer;24-33;FRANCESA;20/10/2020;30/06/2021;Estudiando;08-A Licenciado Universitario;LATINA;PUERTA DEL ANGEL;1
Varón;>90;ESPAÑOLA;12/06/2008;31/07/2019;Jubilado/a;200-N NS/NC;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Mujer;47-56;ESPAÑOLA;24/01/2017;-;Trabajando;03-A BUP/Bachillerato;LATINA;ALUCHE;1
Mujer;75-84;ESPAÑOLA;19/01/2011;-;Trabajando;03-A BUP/Bachillerato;CIUDAD LINEAL;PUEBLO NUEVO;1
Varón;40-49;ESPAÑOLA;02/06/2014;-;Trabajando;02-A EGB/Graduado Escolar;FUENCARRAL-EL PARDO;VALVERDE;1
Mujer;71-80;ESPAÑOLA;05/02/2008;-;Otra situación;03-A BUP/Bachillerato;BARAJAS;ALAMEDA DE OSUNA;1
Varón;52-61;ESPAÑOLA;11/07/2017;-;Desempleado/a;04-A FP;CARABANCHEL;VISTA ALEGRE;1
Varón;59-68;ESPAÑOLA;07/06/2016;-;Desempleado/a;04-A FP;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Mujer;28-37;ESPAÑOLA;16/09/2019;-;Desempleado/a;08-A Licenciado Universitario;ARGANZUELA;ACACIAS;1
Mujer;50-59;ESPAÑOLA;10/04/2015;31/03/2021;Trabajando;06-A Módulo Profesional;TETUAN;CASTILLEJOS;1
Mujer;28-37;ESPAÑOLA;09/02/2016;-;-;200-N NS/NC;CARABANCHEL;BUENAVISTA;1
Varón;52-61;ESPAÑOLA;26/10/2018;-;Desempleado/a;-;LATINA;CAMPAMENTO;1
Varón;52-61;ESPAÑOLA;22/10/2008;-;Trabajando;05-A COU;PUENTE DE VALLECAS;PORTAZGO;1
Varón;35-44;CHINA;14/05/2018;-;Trabajando;-;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Mujer;52-61;ESPAÑOLA;25/04/2017;31/10/2018;-;200-N NS/NC;CENTRO;UNIVERSIDAD;1
Mujer;35-44;ESPAÑOLA;09/02/2012;-;Desempleado/a;02-A EGB/Graduado Escolar;LATINA;LAS AGUILAS;1
Varón;44-53;ESPAÑOLA;05/01/2021;-;Trabajando;06-A Módulo Profesional;OTROS;OTROS;1
Varón;60-69;RUMANA;09/03/2023;-;Trabajando;02-A EGB/Graduado Escolar;PUENTE DE VALLECAS;SAN DIEGO;1
Mujer;35-44;ESPAÑOLA;09/08/2010;-;Estudiando;200-N NS/NC;SALAMANCA;FUENTE DEL BERRO;1
Mujer;81-90;ESPAÑOLA;14/10/2008;-;Jubilado/a;08-A Licenciado Universitario;SALAMANCA;GOYA;1
Varón;25-34;ESPAÑOLA;22/05/2023;-;Trabajando;04-A FP;VILLAVERDE;LOS ANGELES;1
Varón;64-73;ESPAÑOLA;10/11/2021;-;Jubilado/a;106-N Licenciado Universitario;FUENCARRAL-EL PARDO;MIRASIERRA;1
Varón;30-39;VENEZOLANA;28/08/2020;-;Trabajando;08-A Licenciado Universitario;TETUAN;VALDEACEDERAS;1
Mujer;63-72;ESPAÑOLA;18/03/2015;-;-;200-N NS/NC;SAN BLAS - CANILLEJAS;SIMANCAS;1
Mujer;53-62;ESPAÑOLA;01/12/2014;-;Trabajando;07-A Diplomado Universitario;OTROS;OTROS;1
Varón;67-76;ESPAÑOLA;18/01/2017;-;Jubilado/a;03-A BUP/Bachillerato;CARABANCHEL;BUENAVISTA;1
Mujer;19-28;ESPAÑOLA;09/03/2022;-;-;-;OTROS;OTROS;1
Mujer;31-40;SALVADOREÑA;10/02/2021;-;-;-;HORTALEZA;PINAR DEL REY;1
Mujer;73-82;ESPAÑOLA;04/08/2020;-;-;106-N Licenciado Universitario;MONCLOA-ARAVACA;ARGUELLES;1
Mujer;26-35;ESPAÑOLA;27/01/2017;-;Estudiando;104-N Ciclo Formativo Grado Superior;OTROS;OTROS;1
Varón;89-98;ESPAÑOLA;27/04/2023;-;-;-;VILLAVERDE;LOS ANGELES;1
